Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,27.75,27.38,24.89,21.55,17.99,14.05,12.94,15.25,19.67,22.29,26.88,28.20
1902,27.71,27.13,25.57,21.97,17.95,14.61,13.87,15.38,19.30,22.77,25.98,26.53
1903,27.91,27.25,25.72,21.57,17.33,14.44,13.43,15.55,18.65,22.01,24.91,25.79
1904,26.74,26.16,24.46,21.73,17.71,14.13,13.72,15.50,18.42,21.92,25.32,27.63
1905,28.12,26.43,25.37,22.05,18.31,14.52,13.57,14.94,17.46,20.85,25.19,27.82
1906,29.17,28.60,24.88,23.03,18.71,16.04,14.61,15.83,18.51,22.48,24.09,26.84
1907,27.06,26.89,24.51,21.10,17.78,14.79,13.99,15.86,18.97,22.92,24.50,26.44
1908,28.17,26.66,24.28,21.49,17.36,12.92,13.21,14.74,17.46,21.27,25.46,27.27
1909,26.95,26.51,25.22,20.57,17.22,14.98,13.00,15.78,18.44,22.68,24.76,25.99
1910,27.66,27.33,24.44,22.10,18.46,15.09,14.11,16.39,19.89,21.17,24.39,26.08
1911,27.24,26.24,24.84,21.29,17.41,13.57,13.93,15.80,18.89,22.44,25.89,27.04
1912,28.32,28.30,26.04,21.59,17.98,14.69,13.92,16.06,19.07,22.67,24.75,27.27
1913,27.22,26.89,24.46,22.02,16.05,13.64,14.19,15.47,18.30,22.58,25.30,27.51
1914,27.92,27.90,26.01,22.54,18.18,14.98,13.38,16.66,19.30,23.18,26.32,27.96
1915,27.38,28.41,25.97,22.54,17.46,15.95,15.22,15.80,19.94,22.41,25.93,27.14
1916,27.86,27.46,25.73,21.02,18.63,15.61,13.84,16.03,19.39,21.51,23.51,26.00
1917,26.87,25.04,24.36,20.56,16.12,14.07,14.82,15.15,18.88,21.88,23.98,26.50
1918,26.89,25.99,23.98,21.40,17.80,15.28,12.88,15.72,19.00,22.42,25.56,27.39
1919,27.86,27.11,25.33,22.62,17.90,15.40,13.79,15.52,18.74,22.28,25.73,27.89
1920,27.09,26.87,24.65,21.06,17.42,15.25,14.00,15.54,18.95,22.44,25.21,26.24
1921,27.19,27.30,24.60,21.46,19.20,16.05,14.94,14.90,19.07,21.59,25.63,26.72
1922,27.27,27.38,25.19,22.83,17.37,14.59,12.64,14.94,18.82,22.59,25.73,26.45
1923,27.58,28.40,26.16,22.57,18.67,14.45,13.27,14.69,18.10,21.83,24.63,26.97
1924,26.72,26.26,24.58,20.21,17.80,14.39,14.61,15.72,19.29,21.94,24.65,25.90
1925,26.33,26.72,24.99,21.44,17.52,14.60,12.81,14.71,17.35,21.89,25.67,27.69
1926,27.80,28.71,25.75,22.31,16.57,14.42,14.63,16.01,19.20,23.01,25.65,26.40
1927,27.60,26.41,25.33,21.14,16.93,15.15,13.66,15.60,19.14,22.82,25.76,26.59
1928,27.10,26.87,25.68,22.92,17.16,14.16,13.99,17.01,20.34,22.71,25.82,27.49
1929,27.69,27.86,24.52,20.57,17.11,14.01,12.48,15.66,18.09,22.23,25.35,26.15
1930,27.44,27.67,25.56,21.54,17.94,15.02,14.72,15.70,18.91,22.43,25.34,26.56
1931,27.37,26.91,25.20,21.32,17.74,14.98,13.96,15.71,19.00,21.36,23.91,27.16
1932,29.39,27.03,25.46,21.33,18.27,14.36,13.56,15.36,18.54,21.78,25.29,26.82
1933,27.66,27.43,25.95,21.83,17.79,15.24,13.56,14.71,18.63,22.44,24.20,26.04
1934,28.00,27.26,25.89,21.23,18.44,14.69,14.03,15.47,19.16,21.73,24.24,26.64
1935,27.55,27.17,25.28,20.97,17.19,14.06,13.80,15.94,18.68,22.44,25.54,27.07
1936,28.03,27.32,25.19,20.99,17.68,13.90,14.46,16.99,18.97,22.69,25.51,27.08
1937,27.09,27.18,25.45,20.96,18.15,14.07,13.28,15.67,18.99,23.24,26.00,27.25
1938,27.57,26.51,26.30,22.52,19.08,14.93,13.87,15.46,19.39,23.31,26.32,28.14
1939,28.81,27.33,25.15,21.88,18.71,14.75,13.15,14.79,18.14,21.69,24.36,26.70
1940,27.87,26.59,26.11,21.00,16.75,15.20,13.85,16.04,19.25,23.58,24.78,27.52
1941,26.27,26.72,24.33,22.03,17.71,14.50,14.10,15.07,18.82,21.71,25.52,27.28
1942,28.07,26.45,25.79,22.07,18.88,15.64,14.20,16.63,19.54,22.03,25.02,26.58
1943,27.49,26.65,26.27,21.47,16.97,13.73,13.53,14.83,18.62,22.38,24.34,26.73
1944,28.36,26.42,25.10,20.80,16.34,14.38,13.85,15.79,19.95,22.64,26.23,26.50
1945,27.28,26.75,24.92,22.01,17.68,15.99,13.34,16.89,18.64,21.45,24.72,27.13
1946,27.70,26.25,24.08,20.21,18.34,13.34,14.38,15.79,18.79,21.82,25.20,27.12
1947,28.79,27.35,25.26,20.87,18.13,15.50,14.37,15.65,18.42,21.45,24.26,26.29
1948,26.99,27.62,24.73,21.00,17.20,14.30,13.87,16.05,18.77,22.50,24.96,26.78
1949,27.02,25.76,24.63,20.57,16.88,13.19,13.98,15.93,18.38,22.21,24.23,27.13
1950,27.45,26.42,24.80,21.34,18.39,13.94,13.90,15.32,19.14,21.40,24.43,26.46
1951,27.14,27.02,26.23,20.85,16.87,15.08,13.56,14.37,19.28,22.13,25.52,26.99
1952,28.17,27.02,25.43,21.32,17.57,14.62,13.58,15.23,18.96,21.81,24.29,26.66
1953,26.87,25.78,26.19,22.83,17.15,14.77,13.86,14.40,18.41,22.31,24.70,27.36
1954,27.35,26.13,25.55,21.73,17.48,14.07,14.31,15.88,18.68,22.39,24.80,26.89
1955,27.52,27.52,25.22,21.54,16.79,15.02,13.62,16.43,19.45,22.12,24.02,26.00
1956,27.15,27.47,25.03,21.27,17.18,13.66,13.94,14.28,17.47,21.13,24.01,26.26
1957,27.79,26.80,24.79,22.63,17.72,16.62,12.60,15.63,18.52,23.13,25.88,27.71
1958,27.73,27.63,25.77,22.97,20.00,15.18,14.47,16.10,17.36,21.93,25.42,26.59
1959,28.21,27.32,26.13,22.38,17.81,15.37,14.54,16.35,19.28,22.53,26.55,26.17
1960,28.29,26.84,25.24,21.46,15.82,13.93,14.07,14.52,18.37,22.76,24.31,26.76
1961,27.92,27.17,25.69,22.59,17.54,14.84,13.36,15.04,19.93,23.74,25.40,27.51
1962,27.67,27.22,25.09,21.71,17.16,16.47,14.51,15.43,18.81,22.26,26.07,26.91
